url,status,current_title,current_meta_description,suggested_meta_title,suggested_meta_description,content_type,error
https://www.twstackle.com/,200,TW's Bait & Tackle,,"TW's Bait & Tackle | Fishing Gear in Nags Head, NC","Shop rods, reels, tackle, apparel, and outdoor gear at TW's Bait & Tackle. Visit our Nags Head store or order online with fast shipping.",text/html; charset=iso-8859-1,
https://www.twstackle.com/departments,200,Categories,You may purchase eGift Cards on our site with this link: Purchase eGift Card&nbsp;- use eGift Cards online or at the Nags Head Store #content_wrap > .container{display: none},Shop All Categories | TW's Bait & Tackle,"Browse all fishing, hunting, boating, apparel, and gift categories at TW's Bait & Tackle. Find top brands for every outdoor adventure.",text/html; charset=iso-8859-1,
https://www.twstackle.com/departments/adult-life-jacket-|65|65G|065190.html,200,ADULT LIFE JACKET,,ADULT LIFE JACKET | TW's Bait & Tackle,Browse ADULT LIFE JACKET and related gear at TW's Bait & Tackle. Find quality products from trusted outdoor brands.,text/html; charset=iso-8859-1,
https://www.twstackle.com/departments/all-coozies-|75|75B|075107.html,200,ALL COOZIES,,ALL COOZIES | TW's Bait & Tackle,Browse ALL COOZIES and related gear at TW's Bait & Tackle. Find quality products from trusted outdoor brands.,text/html; charset=iso-8859-1,
https://www.twstackle.com/departments/all-other-drinkware-|75|75B|075106.html,200,ALL OTHER DRINKWARE,,ALL OTHER DRINKWARE | TW's Bait & Tackle,Browse ALL OTHER DRINKWARE and related gear at TW's Bait & Tackle. Find quality products from trusted outdoor brands.,text/html; charset=iso-8859-1,
https://www.twstackle.com/departments/all-other-storage--amp--carry-bags-|75|75C|075124.html,200,ALL OTHER STORAGE & CARRY BAGS,,ALL OTHER STORAGE & CARRY BAGS | TW's Bait & Tackle,Browse ALL OTHER STORAGE & CARRY BAGS and related gear at TW's Bait & Tackle. Find quality products from trusted outdoor brands.,text/html; charset=iso-8859-1,
https://www.twstackle.com/departments/anchoring--rope--amp--docking-|65|65H|065213.html,200,"ANCHORING, ROPE & DOCKING",,"ANCHORING, ROPE & DOCKING | TW's Bait & Tackle","Browse ANCHORING, ROPE & DOCKING and related gear at TW's Bait & Tackle. Find quality products from trusted outdoor brands.",text/html; charset=iso-8859-1,
https://www.twstackle.com/departments/apparel--amp--footwear-%7C35.html,200,APPAREL & FOOTWEAR,,Apparel & Footwear | TW's Bait & Tackle,"Shop outdoor apparel and footwear built for comfort on the water, beach, and trail at TW's Bait & Tackle.",text/html; charset=iso-8859-1,
https://www.twstackle.com/departments/apparel--amp--footwear-|35.html,200,APPAREL & FOOTWEAR,,APPAREL & FOOTWEAR | TW's Bait & Tackle,Browse APPAREL & FOOTWEAR and related gear at TW's Bait & Tackle. Find quality products from trusted outdoor brands.,text/html; charset=iso-8859-1,
https://www.twstackle.com/departments/attractants--amp--cures-|25|25D|025131.html,200,ATTRACTANTS & CURES,,ATTRACTANTS & CURES | TW's Bait & Tackle,Browse ATTRACTANTS & CURES and related gear at TW's Bait & Tackle. Find quality products from trusted outdoor brands.,text/html; charset=iso-8859-1,
